Gender,Height,Weight,BMI
1,174,96,31.70828379
1,189,87,24.35542118
0,185,110,32.14024836
0,195,104,27.35042735
1,149,61,27.47623981
1,189,104,29.11452647
1,147,92,42.57485307
1,154,111,46.80384551
1,174,90,29.72651605
0,169,103,36.06316305
1,195,81,21.30177515
0,159,80,31.64431787
0,192,101,27.39800347
1,155,51,21.22788762
1,191,79,21.65510814
0,153,107,45.70891537
0,157,110,44.62655686
1,140,129,65.81632653
1,144,145,69.92669753
1,172,139,46.98485668
1,157,110,44.62655686
0,153,149,63.65073262
0,169,97,33.96239627
1,185,139,40.61358656
0,172,67,22.64737696
0,151,64,28.06894434
1,190,95,26.31578947
1,187,62,17.72998942
0,163,159,59.84417931
1,179,152,47.4392185
1,153,121,51.68952112
1,178,52,16.41206918
0,195,65,17.09401709
0,160,131,51.171875
0,157,153,62.07148363
0,189,132,36.95305283
0,197,114,29.3746296
1,144,80,38.58024691
0,171,152,51.98180637
0,185,81,23.66691015
0,175,120,39.18367347
0,149,108,48.64645737
1,157,56,22.7189744
1,161,118,45.52293507
0,182,126,38.03888419
1,185,76,22.20598977
0,188,122,34.51788139
1,181,111,33.88174964
1,161,72,27.77670615
1,140,152,77.55102041
0,168,135,47.83163265
0,176,54,17.43285124
1,163,110,41.40163348
1,172,105,35.49215792
1,196,116,30.19575177
0,187,89,25.45111384
1,172,92,31.09789075
1,178,127,40.08332281
0,164,70,26.0261749
1,143,88,43.03388919
0,191,54,14.80222582
0,141,143,71.92797143
1,193,54,14.49703348
1,190,83,22.99168975
1,175,135,44.08163265
0,179,158,49.31181923
0,172,96,32.44997296
0,168,59,20.90419501
0,164,82,30.48780488
0,194,136,36.13561484
0,153,51,21.78649237
1,178,117,36.92715566
1,141,80,40.23942458
1,180,75,23.14814815
0,185,100,29.2184076
0,197,154,39.68151717
1,165,104,38.20018365
0,168,90,31.8877551
0,176,122,39.38533058
1,181,51,15.56729038
1,164,75,27.88518739
0,166,140,50.80563217
